BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459604.002311,0.92060,0.00188,1.4289,0.14,0.76,6.53,34249
2459604.003046,0.91651,0.00190,1.4320,1.58,-2.71,6.03,36788
2459604.003780,0.91320,0.00189,1.4351,0.41,-1.52,5.63,42103
2459604.004514,0.91136,0.00188,1.4383,1.41,-0.59,5.61,43123
2459604.005247,0.90789,0.00189,1.4415,-2.60,1.89,5.35,40419
2459604.005982,0.90612,0.00188,1.4447,0.64,0.72,5.66,40714
2459604.006717,0.90470,0.00189,1.4481,-0.80,1.79,6.08,36112
2459604.007448,0.90596,0.00188,1.4514,0.84,-2.20,6.90,35103
2459604.008178,0.90655,0.00189,1.4549,0.30,-1.29,7.15,31743
2459604.008916,0.90192,0.00189,1.4584,0.46,-1.09,7.00,33991
2459604.009646,0.90047,0.00188,1.4619,-0.56,0.82,5.53,38750
2459604.010384,0.89937,0.00187,1.4655,-1.19,1.25,6.16,38733
2459604.011116,0.89846,0.00189,1.4691,-0.01,1.40,5.66,37632
2459604.011847,0.90352,0.00188,1.4728,0.65,-2.53,6.70,34370
2459604.012584,0.90129,0.00189,1.4766,0.90,-1.18,5.71,40346
2459604.013314,0.89967,0.00189,1.4804,-0.83,0.60,7.29,31659
2459604.014050,0.89867,0.00188,1.4843,-0.41,1.20,6.78,34587
2459604.014799,0.89978,0.00189,1.4883,-1.30,1.49,6.10,38627
2459604.015534,0.89899,0.00190,1.4923,2.33,-2.61,6.92,34332
2459604.016262,0.89571,0.00188,1.4963,0.01,-1.32,6.03,36667
2459604.016997,0.89945,0.00188,1.5004,0.60,-0.80,6.01,38794
2459604.017731,0.90062,0.00189,1.5046,-1.99,1.18,5.71,42865
2459604.018466,0.89804,0.00190,1.5088,-0.42,0.93,6.95,30106
2459604.019194,0.90102,0.00190,1.5131,0.23,-0.65,6.60,32973
2459604.019929,0.89969,0.00190,1.5174,1.94,-1.98,5.89,38495
2459604.020664,0.89780,0.00190,1.5219,-0.76,-0.87,5.77,39622
2459604.021399,0.89927,0.00190,1.5263,-0.91,0.99,6.68,33462
2459604.022127,0.89833,0.00188,1.5309,-0.95,0.62,5.81,44310
2459604.022896,0.90098,0.00189,1.5357,0.66,-0.33,8.60,27078
2459604.023631,0.90215,0.00192,1.5404,1.22,-2.24,9.01,25678
2459604.024366,0.90194,0.00190,1.5451,0.64,-0.74,6.15,37129
2459604.025101,0.90276,0.00191,1.5499,-1.83,1.09,6.13,37228
2459604.025829,0.90490,0.00194,1.5548,-1.36,0.26,5.86,34474
2459604.026564,0.90627,0.00193,1.5598,0.97,-0.49,6.95,26708
2459604.027298,0.90759,0.00193,1.5648,1.11,-2.50,7.43,26611
2459604.028033,0.90865,0.00193,1.5699,0.86,-0.48,7.47,27872
2459604.028768,0.90831,0.00191,1.5751,-1.66,0.80,5.92,36515
2459604.029503,0.91222,0.00193,1.5803,-0.41,1.06,6.06,33457
2459604.030231,0.91341,0.00192,1.5856,0.29,-1.98,7.02,29171
2459604.030965,0.92224,0.00192,1.5910,1.62,-2.17,6.27,33492
2459604.031700,0.92803,0.00192,1.5965,-0.10,-0.03,6.96,30666
2459604.032435,0.93439,0.00193,1.6020,-1.75,0.88,8.26,24966
2459604.033170,0.94157,0.00198,1.6077,-0.52,0.94,7.73,23116
2459604.033905,0.94828,0.00198,1.6134,1.15,-2.71,8.30,23746
2459604.034639,0.95677,0.00199,1.6192,1.81,-1.41,6.57,30953
2459604.035367,0.96022,0.00200,1.6250,-2.26,-0.24,6.51,29396
2459604.036102,0.96976,0.00201,1.6310,-0.53,0.62,6.79,26747
2459604.036837,0.97451,0.00204,1.6371,-0.43,0.10,8.49,18738
2459604.037571,0.98273,0.00204,1.6432,1.82,-2.37,8.35,19033
2459604.038306,0.98573,0.00201,1.6494,0.88,-0.84,8.32,21179
2459604.039034,0.98935,0.00201,1.6557,-2.31,0.03,6.76,27462
2459604.039769,0.99425,0.00209,1.6621,-0.73,1.52,8.50,16858
2459604.040504,1.00251,0.00218,1.6686,0.75,-3.30,10.08,14455
2459604.041239,1.00381,0.00229,1.6752,1.44,-1.23,10.76,11288
2459604.041974,1.00444,0.00213,1.6819,-0.13,0.20,8.24,17025
2459604.042701,1.00475,0.00221,1.6887,-1.12,0.78,9.42,13198
2459604.043436,1.00415,0.00216,1.6956,1.29,-0.23,10.42,13124
2459604.044171,1.00342,0.00216,1.7025,0.77,-2.43,9.42,14921
2459604.044906,1.00236,0.00217,1.7096,1.10,-0.47,9.15,15440
2459604.045633,1.00476,0.00216,1.7168,-2.21,0.90,9.47,14373
2459604.046368,1.00211,0.00216,1.7240,-0.71,1.01,8.35,15080
2459604.047103,1.00193,0.00220,1.7315,3.11,-2.17,10.02,13035
2459604.047838,1.00525,0.00214,1.7390,0.38,-1.40,8.38,19085
2459604.048573,1.00151,0.00226,1.7466,-1.50,-0.16,9.79,13746
2459604.049300,0.99981,0.00213,1.7543,-0.48,1.14,8.03,20494
2459604.050035,1.00371,0.00229,1.7621,2.23,-2.35,11.52,10754
2459604.050770,1.00497,0.00214,1.7701,2.47,-1.22,7.18,20199
2459604.051505,1.00214,0.00218,1.7782,-2.87,0.44,10.20,15865
2459604.052240,0.99912,0.00211,1.7864,0.44,0.10,6.71,22311
2459604.052988,1.00444,0.00215,1.7949,2.16,-1.23,9.67,16841
2459604.053723,1.00056,0.00211,1.8033,-0.30,-1.93,9.63,17397
2459604.054458,1.00320,0.00215,1.8119,1.03,0.71,9.37,18338
2459604.055193,1.00226,0.00218,1.8206,-1.68,1.21,9.16,15548
2459604.055928,0.99901,0.00216,1.8294,1.96,-1.39,8.03,19259
2459604.056662,1.00295,0.00230,1.8384,2.61,-2.36,10.85,11689
2459604.057390,1.00907,0.00231,1.8475,-0.69,-0.61,9.03,15388
2459604.058125,1.00329,0.00217,1.8567,-0.42,0.70,6.93,24525
2459604.058860,1.00495,0.00231,1.8661,0.01,1.40,12.15,11205
2459604.059595,1.00713,0.00229,1.8756,2.19,-2.09,9.91,14146
2459604.060330,1.00650,0.00228,1.8853,1.89,-0.43,9.43,14251
2459604.061057,0.99923,0.00219,1.8951,-1.63,1.52,8.30,19416
2459604.061792,1.00318,0.00223,1.9051,-0.67,0.52,9.22,16348
2459604.062527,1.00233,0.00225,1.9152,3.99,-2.32,9.25,14612
2459604.063262,1.00602,0.00224,1.9255,0.15,0.08,9.78,14802
2459604.063997,1.00520,0.00231,1.9359,-2.43,0.75,11.56,11124
2459604.064732,1.00124,0.00235,1.9466,1.26,1.90,12.79,9591
2459604.065466,1.00339,0.00228,1.9573,3.33,-2.55,9.68,13222
2459604.066194,1.00192,0.00223,1.9683,-0.93,-0.76,7.52,21014
2459604.066929,1.00491,0.00235,1.9794,-0.27,2.10,9.44,13309
2459604.067664,1.00474,0.00228,1.9907,-0.37,1.01,10.88,13016
2459604.068399,1.00518,0.00232,2.0021,2.70,-3.26,8.76,15190
2459604.069127,0.99917,0.00233,2.0138,2.61,-1.28,9.75,13156
2459604.069862,1.00343,0.00232,2.0257,-0.56,0.63,9.52,13769
2459604.070597,1.00516,0.00235,2.0377,-0.41,1.52,11.72,11043
2459604.071332,1.00538,0.00240,2.0500,2.49,-2.46,9.65,13317
2459604.072060,1.00569,0.00250,2.0624,-0.49,-0.96,9.45,10508
2459604.072795,1.00614,0.00230,2.0751,-1.24,0.61,9.78,14369
2459604.073530,1.00607,0.00233,2.0879,2.85,-0.81,10.51,11951
2459604.074265,1.00597,0.00234,2.1010,3.19,-1.94,9.70,13026
2459604.074993,1.00621,0.00247,2.1143,-1.66,0.73,11.95,9066
2459604.075728,1.00868,0.00272,2.1278,0.02,1.94,14.38,6140
2459604.076463,1.00739,0.00269,2.1416,2.49,-1.78,13.67,6750
